has_reply,has_retweet,has_retweet_comment,has_like,a_follows_b,b_is_verified,a_is_verified,type,language,0
False,False,False,False,False,False,False,Quote,00304D7356D6C64481190D708D8F739C,5.2158965034294315e-05
False,False,False,False,False,False,False,Quote,105008E45831ADE8AF1DB888319F422A,4.449579955532216e-06
False,False,False,False,False,False,False,Quote,10C6C994C2AD434F9D49D4BE9CFBC613,2.331909495214106e-05
False,False,False,False,False,False,False,Quote,159541FA269CA8A9CDB93658CAEC4CA2,2.10119053455688e-05
False,False,False,False,False,False,False,Quote,1F73BB863A39DB62B4A55B7E558DB1E8,0.001221244898535981
False,False,False,False,False,False,False,Quote,23686A079CA538645BF6118A1EF51C8B,9.95387515978318e-05
False,False,False,False,False,False,False,Quote,2573A3CF633EBE6932A1E1010D5CD213,0.00020550467424254346
False,False,False,False,False,False,False,Quote,2F548E5BE0D7F678E72DDE31DFBEF8E7,0.0002486820797369672
False,False,False,False,False,False,False,Quote,310ECD7D1E42216E3C1B31EFDDFC72A7,0.00034566644284180826
False,False,False,False,False,False,False,Quote,313ECD3A1E5BB07406E4249475C2D6D6,0.0033134538735529904
False,False,False,False,False,False,False,Quote,3228B1FB4BC92E81EF2FE35BDA86C540,1.1371148775248997e-05
False,False,False,False,False,False,False,Quote,3AB05D6A4045A6C37D3E4566CFDFFE26,1.3101540980178193e-05
False,False,False,False,False,False,False,Quote,3DF931B225B690508A63FD24133FA0E2,1.3843137639433562e-05
False,False,False,False,False,False,False,Quote,3EA57373381A56822CBBC736169D0145,9.063959168676737e-07
False,False,False,False,False,False,False,Quote,41776FB50B812A6775C2F8DEC92A9779,1.689192390526119e-05
False,False,False,False,False,False,False,Quote,477ED2ED930405BF1DBF13F9BF973434,2.2000700891242627e-05
False,False,False,False,False,False,False,Quote,488B32D24BD4BB44172EB981C1BCA6FA,0.012566849788855071
False,False,False,False,False,False,False,Quote,4B55C45CD308068E4D0913DEF1043AD6,7.572525887285383e-05
False,False,False,False,False,False,False,Quote,4CA37504EF8BA4352B03DCBA50E98A45,3.0323063400663992e-05
False,False,False,False,False,False,False,Quote,59BE899EB83AAA19878738040F6828F0,1.4090336525852018e-05
False,False,False,False,False,False,False,Quote,5A0759FB938B1D9B1E08B7A3A14F1042,0.00042188609948749903
False,False,False,False,False,False,False,Quote,5B210378BE9FFA3C90818C43B29B466B,9.063959168676737e-07
False,False,False,False,False,False,False,Quote,5B6973BEB05212E396F3F2DC6A31B71C,0.00017056723162873496
False,False,False,False,False,False,False,Quote,6B90065EA806B8523C0A6E56D7A961B2,4.935737765488514e-05
False,False,False,False,False,False,False,Quote,7D11A7AA105DAB4D6799AF863369DB9C,0.00014082096562971404
False,False,False,False,False,False,False,Quote,7E18F69967284BB0601E88A114B8F7A9,8.404762138227519e-06
False,False,False,False,False,False,False,Quote,7F4FAB1EB12CD95EDCD9DB2A6634EFCE,0.0008370154294128936
False,False,False,False,False,False,False,Quote,838A92D9F7EB57FB4A8B0C953A80C7EB,4.564939435860829e-05
False,False,False,False,False,False,False,Quote,8729EBF694C3DAF61208A209C2A542C8,0.00032399534046579026
False,False,False,False,False,False,False,Quote,89CE0912454AFE0A1B959569C37A5B8F,2.4472689755427188e-05
False,False,False,False,False,False,False,Quote,914074E75CB398B5A2D81E1A51818CAA,2.9663866370214776e-06
False,False,False,False,False,False,False,Quote,99CA116BF6AA65D70F3C78BEBADC51F0,6.11405245741649e-05
False,False,False,False,False,False,False,Quote,9A78FC330083E72BE0DD1EA92656F3B5,0.0006576314375019004
False,False,False,False,False,False,False,Quote,9FCF19233EAD65EA6E32C2E6DC03A444,0.0010515840628241137
False,False,False,False,False,False,False,Quote,A5CFB818D79497B482B7225887DBD3AD,0.00011132189851711156
False,False,False,False,False,False,False,Quote,B0FA488F2911701DD8EC5B1EA5E322D8,0.0032360806221040134
False,False,False,False,False,False,False,Quote,B4DC2F82961F1263E90DF7A942CCE0B2,0.00017353361826575643
False,False,False,False,False,False,False,Quote,B8B04128918BBF54E2E178BFF1ABA833,0.0024858320018239983
False,False,False,False,False,False,False,Quote,BAC6A3C2E18C26A77C99B41ECE1C738D,4.375420289606679e-05
False,False,False,False,False,False,False,Quote,C1E99BF67DDA2227007DE8038FE32470,1.0299953600769019e-05
False,False,False,False,False,False,False,Quote,CF304ED3CFC1ADD26720B97B39900FFD,1.34311394954028e-05
False,False,False,False,False,False,False,Quote,D7C16BC3C9A5A633D6A3043A567C95A6,8.981559539870584e-06
False,False,False,False,False,False,False,Quote,D922D8FEA3EFAD3200455120B75BCEB8,7.910364365390607e-05
False,False,False,False,False,False,False,Quote,DA13A5C3763C212D9D68FC69102DE5E5,0.0002087182597659834
False,False,False,False,False,False,False,Quote,DE8A3755FCEDC549A408D7B1EB1A2C9F,1.0876751002412084e-05
False,False,False,False,False,False,False,Quote,E6936751CBF4F921F7DE1AEF33A16ED0,0.0009659708484945217
False,False,False,False,False,False,False,Quote,E7F038DE3EAD397AEC9193686C911677,0.005384733342853237
False,False,False,False,False,False,False,Quote,E84BE2C963852FB065EE827F41A0A304,5.100537023100818e-05
False,False,False,False,False,False,False,Quote,F70598172AC4514B1E6818EA361AD580,2.0764706459150344e-05
False,False,False,False,False,False,False,Retweet,00304D7356D6C64481190D708D8F739C,0.000424028489836459
False,False,False,False,False,False,False,Retweet,105008E45831ADE8AF1DB888319F422A,4.8862979882048224e-05
False,False,False,False,False,False,False,Retweet,10C6C994C2AD434F9D49D4BE9CFBC613,6.377731269596177e-05
False,False,False,False,False,False,False,Retweet,159541FA269CA8A9CDB93658CAEC4CA2,0.000168424841279775
False,False,False,False,False,False,False,Retweet,1F73BB863A39DB62B4A55B7E558DB1E8,0.0038571266244159822
False,False,False,False,False,False,False,Retweet,23686A079CA538645BF6118A1EF51C8B,0.0005224960462598108
False,False,False,False,False,False,False,Retweet,2573A3CF633EBE6932A1E1010D5CD213,0.0008483041785593364
False,False,False,False,False,False,False,Retweet,2F548E5BE0D7F678E72DDE31DFBEF8E7,0.0008257266802664507
False,False,False,False,False,False,False,Retweet,310ECD7D1E42216E3C1B31EFDDFC72A7,0.001041943306253794
False,False,False,False,False,False,False,Retweet,313ECD3A1E5BB07406E4249475C2D6D6,0.011451570812963802
